,Title,Genre,Time,Age,Actor,Area,Place,Period,Tag,URL
70,NEW신비아파트 뮤지컬 시즌4：비명동산의 초대장 - 대전,뮤지컬,70분,24개월이상 관람가능,,대전시,대전 한밭대학교 아트홀,2022.01.22 ~ 2022.01.23,판매예정,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012272
71,［군포］ 싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,뮤지컬,60분,24개월이상 관람가능,,경기,군포문화예술회관 철쭉홀,2022.01.22 ~ 2022.01.23,판매예정,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012216
72,가족뮤지컬〈고고다이노 공룡대탐험〉 - 울산,뮤지컬,65분,전체관람가,,울산시,울산중구문화의전당 함월홀,2022.01.22 ~ 2022.01.23,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012203
73,(청주)2022가족뮤지컬 어린이캣,뮤지컬,60분,24개월이상 관람가능,,충북,청주 예술의전당 대공연장,2022.01.16 ~ 2022.01.16,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012171
74,(제주) 2022 가족뮤지컬 “백설공주와 일곱난쟁이”,뮤지컬,60분,24개월이상 관람가능,,제주,제주 한라아트홀,2022.01.15 ~ 2022.01.16,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011783
75,가족뮤지컬 〈출동! 슈퍼윙스 : 빅콘서트〉 - 울산,뮤지컬,60분,20개월이상 관람가능,,울산시,울산문화예술회관 소공연장,2022.01.15 ~ 2022.01.16,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011713
76,2022 가족라이브 뮤지컬 〈백설공주〉 - 부산,뮤지컬,50분,전체관람가,,부산시,해운대문화회관 해운홀,2022.01.15 ~ 2022.01.15,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011298
77,가족뮤지컬 겨울이야기 (수원),뮤지컬,50분,전체관람가,,경기,수원청소년문화센터 온누리아트홀,2022.01.15 ~ 2022.01.15,판매예정,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012231
78,어린이뮤지컬 ‘ 렛잇고2 ’ - 파주,뮤지컬,60분,24개월이상 관람가능,,경기,파주시민회관 소공연장,2022.01.08 ~ 2022.01.09,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011376
79,2022 가족라이브 뮤지컬 〈겨울이야기〉 - 부산,뮤지컬,55분,전체관람가,,부산시,금정문화회관 금빛누리홀,2022.01.08 ~ 2022.01.09,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011318
80,가족뮤지컬〈고고다이노 공룡대탐험〉 - 대구,뮤지컬,65분,24개월이상 관람가능,,대구시,천안시성환문화회관 대공연장,2021.12.18 ~ 2021.12.19,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011194
