,Title,Genre,Place,Time,Age,Period,TicketCast,Like_man,Like_woman,Like_age_10,Like_age_20,Like_age_30,Like_age_40,Like_age_50,URL,Status
6762,뮤지컬 브로맨콘서트,콘서트,파크에비뉴 엔터식스 한양대점 메두사홀(3관)(자세히),2016.12.31,만 7세이상,2016.12.31,,100%,0%,0%,0%,100%,0%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015955,판매종료
6763,가족뮤지컬 신데렐라,뮤지컬,강북문화예술회관 대공연장(자세히),2016.12.31,24개월이상 관람가능,2016.12.31,,26.1%,73.9%,0%,2.8%,73.6%,21.8%,1.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014991,판매종료
6764,대학로뮤지컬TOP2〈김종욱찾기〉+〈오!당신이잠든사이〉,뮤지컬,해당공연 공연장－서울(자세히),2016.12.30 ~2017.01.30,NA,2016.12.30 ~2017.01.30,,43.6%,56.4%,2.6%,43.6%,30.8%,17.9%,5.1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16016095,판매종료
6765,겨울방학특집뮤지컬〈백설공주와일곱난쟁이〉 - 대구,뮤지컬,대백프라자 10층 프라임홀(자세히),2016.12.30 ~2017.01.08,24개월이상 관람가능,2016.12.30 ~2017.01.08,2,21.4%,78.6%,0%,3.4%,85.5%,9.4%,1.7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014953,판매종료
6766,가족뮤지컬 “겨울왕국 콘서트” - 청주,뮤지컬,청주예술의전당 대공연장(자세히),2016.12.30 ~2016.12.31,24개월이상 관람가능,2016.12.30 ~2016.12.31,2,28.7%,71.3%,0%,7.3%,77.7%,14.6%,0.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16011411,판매종료
6767,가족뮤지컬 〈쿵푸 꼬마 팬더〉,뮤지컬,현대백화점 미아점 10층 문화홀(자세히),2016.12.30 ~2016.12.31,24개월이상 관람가능,2016.12.30 ~2016.12.31,,0%,100%,0%,0%,66.7%,0%,33.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015033,판매종료
6768,가족뮤지컬 〈도깨비를 빨아버린 우리엄마〉 - 성남,뮤지컬,성남아트센터 앙상블시어터(자세히),2016.12.30 ~2016.12.31,24개월이상 관람가능,2016.12.30 ~2016.12.31,,23.1%,76.9%,0%,1.5%,77.7%,19.2%,0.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015364,판매종료
6769,뮤지컬 산복도로 - 부산(금정문화회관),뮤지컬,부산 금정문화회관 소공연장(자세히),2016.12.30,전체관람가,2016.12.30,,60%,40%,0%,0%,40%,40%,20%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015193,판매종료
6770,뮤지컬 왕초품바 - 경주,뮤지컬,경주예술의전당 대공연장(자세히),2016.12.29,전체관람가,2016.12.29,1,47.4%,52.6%,0%,36.8%,57.9%,5.3%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015384,판매종료
6771,넌너벌 뮤지컬 〈타악의 신〉,뮤지컬,한국방송회관 2층 코바코홀(자세히),2016.12.28 ~2016.12.31,미취학아동입장불가,2016.12.28 ~2016.12.31,,100%,0%,0%,0%,0%,100%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015057,판매종료
